CustomerID,Age,Gender,MaritalStatus,Dependents,Education,JobType,City,PropertyArea,Experience,Income,LoanAmount,LoanTenure,CreditScore,ExistingLoans,MonthlyEMI,LoanToIncome,RandomReference,LoanApproved
CUST02300,37,Female,Married,4,Master,Salaried,Mumbai,Urban,19,30942.137913517887,29868.308637912363,48,558,3,622.26,0.9653,32658,1
CUST03772,35,Male,Married,4,Master,Business,Delhi,Rural,17,18254.08778111888,462740.4806521027,24,610,5,19280.85,25.35,75159,1
CUST00034,45,Male,Divorced,3,PhD,Salaried,Mumbai,Urban,22,54143.9317017353,67853.18316011663,24,694,3,2827.22,1.2532,95398,1
CUST01245,60,Male,Divorced,3,High School,Salaried,Mumbai,Semi-Urban,12,20077.3924413589,114870.71782612205,12,770,1,9572.56,5.7214,88786,1
CUST03051,61,Female,Married,4,Bachelor,Business,Delhi,Urban,4,24672.165215533503,82662.03806338803,120,456,2,688.85,3.3504,89796,0
CUST02241,18,Female,Married,0,High School,Salaried,Delhi,Semi-Urban,0,51788.58113658336,391098.10261216026,48,799,4,8147.88,7.5518,55830,1
CUST04138,59,Female,Married,4,PhD,Business,Mumbai,Rural,15,109924.15004608306,169133.0222653315,120,826,5,1409.44,1.5386,98980,1
CUST04079,41,Male,Married,4,Bachelor,Business,Chennai,Urban,23,94525.00386843382,230986.31462839537,84,608,0,2749.84,2.4437,47550,1
CUST02441,40,Male,Married,3,,Self-Employed,Bangalore,Semi-Urban,10,19981.465248485772,130563.2894993265,12,477,3,10880.27,6.5342,65083,1
CUST01913,39,Male,Married,1,Master,Salaried,Mumbai,Urban,21,93528.22381856575,59266.932094648895,12,625,1,4938.91,0.6337,66962,1
CUST04293,35,Male,Single,0,Bachelor,Salaried,Pune,Semi-Urban,17,28521.001918129543,103311.9176432686,48,648,5,2152.33,3.6223,72415,1
CUST03979,35,Female,Married,0,Bachelor,Self-Employed,Kolkata,Semi-Urban,10,45569.78372609495,230058.1029205718,12,648,5,19171.51,5.0485,55495,0
CUST00498,57,Female,Married,0,Bachelor,Self-Employed,Chennai,Semi-Urban,19,16773.263344194096,479065.7710963813,24,777,4,19961.07,28.5613,51953,1
CUST02700,59,Female,Married,0,Bachelor,Freelance,Pune,Rural,27,105138.99106748054,55948.28176835771,60,634,1,932.47,0.5321,60781,0
CUST04990,62,Male,Single,3,PhD,Business,Delhi,Rural,31,102411.74968649757,41046.27551882538,12,,2,3420.52,0.4008,66768,1
CUST04518,65,Male,Single,3,Bachelor,Self-Employed,Delhi,Semi-Urban,4,20541.03276810806,47045.362379249345,36,667,0,1306.82,2.2903,83029,0
CUST01452,59,Female,Married,4,Master,Salaried,Bangalore,Urban,20,22404.67880711296,109216.46788113647,48,789,5,2275.34,4.8747,90393,1
CUST02991,61,Female,Married,1,High School,Business,Chennai,Urban,26,44296.03934965037,89709.67296436557,120,737,2,747.58,2.0252,46876,1
CUST02944,25,Male,Single,0,Bachelor,Business,Bangalore,Semi-Urban,7,50428.13113593003,420361.2715739651,36,668,2,11676.7,8.3358,25090,1
CUST00928,21,Female,Single,4,Master,Business,Pune,Urban,3,34582.86105712931,505264.80256508087,60,718,5,8421.08,14.6103,17533,1
CUST01324,60,Female,Married,4,Master,Salaried,Delhi,Rural,0,,149970.34212756768,12,632,3,12497.53,1.366,78449,1
CUST04895,37,Female,Single,4,Master,Salaried,Kolkata,Rural,19,97311.69142834215,42897.95627081291,24,638,1,1787.41,0.4408,27766,1
CUST02100,25,Female,Married,0,Bachelor,Salaried,Mumbai,Urban,7,40082.29245435502,193800.20682368896,60,666,4,3230.0,4.8351,76467,1
CUST00732,42,Male,Married,4,Bachelor,Freelance,Bangalore,Rural,24,41317.134205058246,119891.96344982093,36,734,3,3330.33,2.9017,64714,0
CUST00839,27,Female,Married,3,Bachelor,Self-Employed,Bangalore,Rural,9,26552.100514922815,543875.0182813273,120,621,5,4532.29,20.4833,91828,1
CUST02847,34,Male,Divorced,2,Master,Self-Employed,Mumbai,Semi-Urban,9,25953.867589497117,369707.0771719709,24,693,5,15404.46,14.2448,33130,0
CUST01993,25,Female,Married,4,Master,Business,Mumbai,Urban,5,,277535.524574722,84,720,0,3303.99,3.7244,61490,1
CUST02901,40,Female,Married,4,High School,Salaried,Mumbai,Semi-Urban,10,19337.07258117351,142498.04820700455,36,525,0,3958.28,7.3692,10467,1
CUST00627,58,Male,Single,0,Master,Business,Delhi,Urban,16,40487.18761458513,467144.5345331562,120,700,0,3892.87,11.5381,67144,1
CUST01542,57,Male,Single,1,Bachelor,Self-Employed,Chennai,Urban,30,75496.28417501386,303272.42414229887,48,600,5,6318.18,4.0171,68543,0
CUST02510,27,Female,Single,0,Bachelor,Salaried,Kolkata,Semi-Urban,9,32169.071376465297,65616.97821079966,48,551,3,1367.02,2.0398,68955,1
CUST00539,69,Female,Married,0,Master,Salaried,Delhi,,16,18311.170758718206,131010.71621840243,36,651,0,3639.19,7.1547,86633,1
CUST03691,44,Female,Single,2,Bachelor,Freelance,Pune,Rural,22,60405.72224005951,184746.592554466,60,690,3,3079.11,3.0584,56900,1
CUST02945,57,Female,Divorced,4,Bachelor,Self-Employed,Delhi,Urban,23,16120.195103845559,71389.62114114556,84,663,1,849.88,4.4286,45686,1
CUST03818,19,Male,Single,3,Master,Self-Employed,Mumbai,Rural,1,30578.933206485366,49042.301120627635,120,523,1,408.69,1.6038,40970,1
CUST02289,42,Female,Married,4,Bachelor,Salaried,Mumbai,Semi-Urban,2,25742.19966790694,132972.37902126723,36,544,5,3693.68,5.1655,93783,1
CUST03400,35,Male,Divorced,3,High School,Salaried,Delhi,Semi-Urban,17,31926.6108136684,55238.36702356438,24,519,5,2301.6,1.7302,90008,0
CUST02881,67,Female,Married,1,Bachelor,Business,Delhi,Semi-Urban,18,24449.237291672303,27981.342127973807,120,584,5,233.18,1.1445,33234,1
CUST02437,61,Female,Married,2,Bachelor,Business,Mumbai,Urban,12,,112280.38797990506,12,700,5,9356.7,3.3348,87615,0
CUST01770,34,Male,Single,3,Master,Self-Employed,Chennai,Semi-Urban,12,63131.44722088305,139199.57960478493,84,688,4,1657.14,2.2049,21664,1
CUST00024,19,Male,Single,2,Bachelor,Business,Delhi,Urban,1,74614.1166350812,204541.95078508917,120,649,1,1704.52,2.7413,10956,1
CUST02395,66,Male,Single,1,Master,Salaried,Chennai,Semi-Urban,25,144639.0868294829,39346.41619004538,24,673,4,1639.43,0.272,21821,1
CUST01201,50,Female,Single,1,High School,Salaried,Delhi,Urban,24,46176.97803231941,291429.01501398045,36,,1,8095.25,6.3111,44726,1
CUST00813,38,Male,Single,1,Bachelor,Salaried,Kolkata,Rural,20,43724.6741932402,41186.94957492588,60,639,4,686.45,0.942,26370,0
CUST01174,55,Male,Married,4,Bachelor,Business,Chennai,Semi-Urban,9,88361.5458838853,26492.38454898047,48,741,0,551.92,0.2998,71254,1
CUST00502,56,Male,Single,1,High School,Self-Employed,Delhi,Rural,12,,397805.27608725446,36,662,4,11050.15,8.677,58950,0
CUST02635,34,Male,Married,2,Bachelor,Salaried,Bangalore,Urban,11,60872.00710671542,22848.410911377727,48,742,5,476.01,0.3754,48422,1
CUST04795,20,Female,Married,1,Master,Salaried,Mumbai,Rural,2,35500.0706071517,534292.7575804037,48,635,3,11131.1,15.0505,65299,1
CUST03143,39,Male,Married,2,Master,Freelance,Delhi,Urban,14,27238.68551262148,37502.3108849157,24,638,5,1562.6,1.3768,49344,1
CUST00466,21,Female,Married,2,Bachelor,Salaried,Bangalore,Rural,3,42131.26161664141,62118.189119553455,84,669,4,739.5,1.4744,17905,0
CUST01841,30,Male,Married,1,High School,Freelance,Delhi,Semi-Urban,12,66652.91297424627,359833.33677285817,12,580,5,29986.11,5.3986,44140,0
CUST03296,67,Male,Married,4,Master,Salaried,Chennai,Rural,12,19334.676385005983,23394.3440453167,120,608,5,194.95,1.21,95364,1
CUST03932,30,Female,Married,3,Master,Salaried,Pune,Semi-Urban,3,,82936.21606216943,84,625,3,987.34,1.4231,87045,1
CUST03648,64,Female,Married,4,Bachelor,Freelance,Bangalore,Rural,5,31333.64364729987,648113.7462662291,120,647,4,5400.95,20.6843,51806,0
CUST03572,68,Female,Married,2,Master,Self-Employed,Chennai,Semi-Urban,29,87725.90010706606,28744.381434444076,120,756,4,239.54,0.3277,76365,1
CUST00880,68,Male,Single,2,High School,Salaried,Bangalore,Rural,20,104033.59475063623,138948.32558029325,84,651,3,1654.15,1.3356,44995,1
CUST01384,21,Female,Single,3,High School,Salaried,Bangalore,Urban,3,83641.1224048577,321465.9752151208,12,635,3,26788.83,3.8434,70538,0
CUST03665,45,Male,Married,4,Master,Salaried,Delhi,Rural,27,85259.54573579997,165270.9953991866,120,531,0,1377.26,1.9384,88497,1
CUST00107,18,Male,Single,3,Bachelor,Business,Delhi,Urban,0,83679.44455083946,166411.55568451135,36,900,4,4622.54,1.9887,30694,1
CUST01398,45,Female,Married,4,Master,Business,Mumbai,,26,39605.19518684005,34696.19761841771,48,582,0,722.84,0.8761,69211,1
CUST02747,51,Female,Single,1,Bachelor,Salaried,Bangalore,Urban,23,31577.173590120423,107519.84084720626,84,615,5,1280.0,3.405,56847,0
CUST02146,unknown,Female,Married,1,Bachelor,Self-Employed,Kolkata,Urban,25,,79751.72156339407,120,505,2,664.6,1.7539,13062,1
CUST01345,37,Female,Married,0,High School,Salaried,Bangalore,Urban,11,86218.96274376826,319931.2794121773,48,765,4,6665.23,3.7107,20154,0
CUST02187,38,Male,Married,4,Master,Salaried,Kolkata,Urban,20,37533.624237762604,192688.44648506618,84,693,1,2293.91,5.1338,20457,1
CUST04329,60,Male,Single,1,Bachelor,Freelance,Delhi,Urban,22,29514.582263804852,48596.847854620166,120,594,1,404.97,1.6465,21186,0
CUST03337,27,Male,Single,2,High School,Salaried,Mumbai,Semi-Urban,7,33350.750245237046,168801.6226472866,36,612,5,4688.93,5.0614,59278,1
CUST01653,48,Male,Married,2,Master,Salaried,Bangalore,Rural,3,,100171.36666113944,36,660,1,2782.54,1.3175,76227,1
CUST01962,61,Male,Married,0,Bachelor,Salaried,Bangalore,Semi-Urban,10,172245.1119305332,123921.4313958062,36,579,3,3442.26,0.7194,61545,1
CUST00734,55,Male,Married,3,PhD,Freelance,Mumbai,Urban,4,53796.97252304623,364084.0970647393,84,642,0,4334.33,6.7677,74146,1
CUST02139,39,Male,Married,3,Bachelor,Self-Employed,Bangalore,Urban,19,41702.6316513074,,48,506,1,1450.84,1.6699,97507,1
CUST01058,26,Female,Married,4,High School,Salaried,Chennai,Semi-Urban,8,95813.49197495848,184402.08460094625,24,,3,7683.42,1.9246,84590,1
CUST04636,62,Female,Divorced,2,High School,Salaried,Chennai,Rural,30,73282.90511552535,332249.6769526886,48,854,3,6921.87,4.5338,95968,1
CUST00712,44,Female,Divorced,2,Bachelor,Salaried,Bangalore,Rural,22,103678.62770010735,29212.162994241706,24,505,3,1217.17,0.2818,18468,0
CUST03703,65,Male,Single,3,High School,Business,Bangalore,Urban,29,149454.7659082477,74487.22017659555,84,710,5,886.75,0.4984,63581,1
CUST00240,43,Male,Married,0,Bachelor,Business,Pune,Rural,5,33540.10650596865,79225.2096833754,36,648,3,2200.7,2.3621,96743,0
CUST00066,53,Female,Married,2,Bachelor,Salaried,Chennai,Semi-Urban,21,54033.08345279599,125547.68845309969,12,686,0,10462.31,2.3235,27577,1
CUST00777,45,Female,Divorced,2,PhD,Salaried,Mumbai,Urban,20,37905.203549569356,216380.32229942773,84,729,2,2575.96,5.7085,43938,1
CUST00411,44,Male,Single,0,High School,Salaried,Mumbai,Semi-Urban,6,29118.57478897414,616243.9313550395,12,665,0,51353.66,21.1633,60056,1
CUST00531,50,Female,Single,3,Bachelor,Self-Employed,Mumbai,Rural,6,26913.015428937477,258649.11571556854,24,695,2,10777.05,9.6106,59411,1
CUST02147,52,Male,Married,0,Bachelor,Salaried,Mumbai,Urban,17,28152.395305305356,126284.64084956178,60,588,4,2104.74,4.4858,80978,1
CUST00590,43,Female,Single,4,Master,Business,Bangalore,Urban,17,58440.21326258246,32278.302408803553,120,740,0,268.99,0.5523,53986,1
CUST02693,39,Male,Married,0,Bachelor,Salaried,Delhi,Semi-Urban,18,33006.24002010149,77457.91466890214,36,690,4,2151.61,2.3468,65428,1
CUST03136,35,Male,Married,2,PhD,Salaried,Delhi,Urban,17,35591.20362992528,29862.782021294537,60,616,3,497.71,0.839,30852,1
CUST03639,18,Male,Married,0,High School,Business,Chennai,Urban,0,23893.72834585575,204972.7093854484,36,575,3,5693.69,8.5785,30881,0
CUST03906,62,Male,Married,2,Master,Business,Bangalore,Rural,11,18057.16754818347,275904.5741050123,12,715,3,22992.05,15.2795,25028,1
CUST02760,30,Male,Single,1,Master,Salaried,Kolkata,Urban,8,16142.769434446725,104558.79238121599,48,583,0,2178.31,6.4771,12590,1
CUST01616,32,Female,Single,2,Master,Self-Employed,Delhi,Semi-Urban,14,66192.90082939269,51126.788336152,60,,4,852.11,0.7724,71182,1
CUST02415,65,Male,Married,3,Master,Salaried,Delhi,Urban,11,16461.56722950133,61281.6176177284,24,601,5,2553.4,3.7227,87615,1
CUST04880,22,Male,Divorced,1,High School,Salaried,Bangalore,Semi-Urban,4,38127.334457525576,242520.4314907607,36,855,5,6736.68,6.3608,50001,1
CUST04128,49,Male,Married,0,High School,Freelance,Mumbai,Urban,9,32707.770057484075,33718.95154947594,120,647,2,280.99,1.0309,87790,1
CUST00562,50,Male,Single,0,,Self-Employed,Mumbai,Urban,14,31555.65195954548,436945.4806121775,120,793,2,3641.21,13.8468,92961,1
CUST00085,25,Male,Married,0,Master,Business,Mumbai,Semi-Urban,7,28151.434663559412,121816.32446242409,24,665,1,5075.68,4.3272,97535,0
CUST04630,58,Male,Single,1,Master,Salaried,Chennai,Urban,25,35317.03462503271,145828.98298397657,24,613,1,6076.21,4.1291,47927,1
CUST03106,27,Male,Married,2,PhD,Business,Pune,Semi-Urban,9,76305.23017422218,78697.34049242032,120,664,2,655.81,1.0313,82529,1
CUST02535,64,Male,Married,0,High School,Salaried,Mumbai,Urban,14,38510.83050490923,286692.15658114443,36,548,1,7963.67,7.4445,46603,0
CUST02145,27,Female,Married,4,Bachelor,Salaried,Bangalore,Urban,9,26809.339437637555,225355.82477547397,60,618,2,3755.93,8.4059,45667,1
CUST01527,34,Female,Single,0,Master,Salaried,Mumbai,Semi-Urban,2,50080.36354311177,145767.50514580944,36,656,0,4049.1,2.9107,18544,1
CUST03248,30,Male,Divorced,0,Bachelor,Freelance,Pune,Semi-Urban,12,21920.790795898865,319651.17359066755,36,793,5,8879.2,14.5821,93235,0
CUST00735,23,Male,Married,0,Bachelor,Salaried,Mumbai,Semi-Urban,5,45987.97710590105,70582.2008683288,84,655,4,840.26,1.5348,55839,1
CUST01363,46,Female,Divorced,0,Master,Freelance,Mumbai,Semi-Urban,28,76107.98808071518,63004.774906058236,84,783,0,750.06,0.8278,51619,0
CUST03535,29,Male,Married,0,Master,Self-Employed,Pune,Semi-Urban,11,23532.03510746383,23277.760609290308,60,771,5,387.96,0.9892,98137,1
CUST00487,43,Female,Married,2,Bachelor,Salaried,Bangalore,Urban,10,92414.92686453738,81321.01780407157,120,720,4,677.68,0.88,59820,1
CUST01505,55,Female,Single,0,High School,Freelance,Bangalore,Urban,17,38570.95283589747,93181.23498746565,48,573,5,1941.28,2.4158,21340,1
CUST03299,24,Female,Married,0,Master,Salaried,Mumbai,Urban,6,19812.968448942975,200445.32812146697,120,565,2,1670.38,10.1169,20584,0
CUST03451,21,Male,Married,2,High School,Salaried,Delhi,Urban,3,115094.63273390906,196352.10447637032,36,638,2,5454.23,1.706,60344,0
CUST04452,45,Male,Married,3,High School,Business,Mumbai,Urban,6,17727.455587116227,290259.8691282418,12,579,0,24188.32,16.3735,27910,1
CUST03165,50,Male,Divorced,0,Bachelor,Salaried,Kolkata,Urban,24,17555.10526276583,141306.5315875492,12,568,4,11775.54,8.0493,17617,0
CUST02973,51,Male,Single,1,Bachelor,Salaried,Kolkata,Urban,6,88713.28593002219,215282.62188978316,24,655,2,8970.11,2.4267,93741,0
CUST01439,38,Female,Single,4,Bachelor,Salaried,Mumbai,Urban,11,144310.35277344356,79356.02612884727,48,660,2,1653.25,0.5499,84367,1
CUST00180,59,Female,Single,0,Bachelor,Salaried,Bangalore,Semi-Urban,22,27253.66339068825,725546.872857895,24,406,5,30231.12,26.622,60283,0
CUST01129,55,Male,Divorced,4,Bachelor,Salaried,Delhi,Urban,24,28981.29956551305,137781.5607418386,120,425,3,1148.18,4.7542,10620,0
CUST00080,53,Male,Married,3,Master,Self-Employed,Kolkata,Urban,18,28100.107068920253,107918.57495452056,12,610,4,8993.21,3.8405,54001,1
CUST02585,20,Male,Single,4,Master,Freelance,Delhi,Urban,2,,174858.67220931692,12,769,1,14571.56,2.4519,64065,0
CUST01910,unknown,Female,Single,3,Master,Salaried,Bangalore,Urban,10,59272.76814891059,48937.386012838455,24,692,3,2039.06,0.8256,78937,1
CUST02772,36,Female,Married,2,Bachelor,Salaried,Mumbai,Semi-Urban,18,85254.21909335193,149334.94194230263,48,577,3,3111.14,1.7516,30160,1
CUST04873,29,Male,Divorced,3,Bachelor,Salaried,Kolkata,Urban,11,47948.81136012447,30141.255517300633,48,537,0,627.94,0.6286,38415,1
